"county","gender","race","year","y","n","NAME"
1,1,1,1968,6,8912,"Adams"
1,1,1,1969,5,9139,"Adams"
1,1,1,1970,8,9455,"Adams"
1,1,1,1971,5,9876,"Adams"
1,1,1,1972,8,10281,"Adams"
1,1,1,1973,5,10876,"Adams"
1,1,1,1974,7,11202,"Adams"
1,1,1,1975,9,11014,"Adams"
1,1,1,1976,9,11485,"Adams"
1,1,1,1977,4,11684,"Adams"
1,1,1,1978,7,11842,"Adams"
1,1,1,1979,5,11841,"Adams"
1,1,1,1980,11,12006,"Adams"
1,1,1,1981,7,12142,"Adams"
1,1,1,1982,12,12085,"Adams"
1,1,1,1983,7,11944,"Adams"
1,1,1,1984,9,11875,"Adams"
1,1,1,1985,15,11915,"Adams"
1,1,1,1986,9,12074,"Adams"
1,1,1,1987,12,12325,"Adams"
1,1,1,1988,13,12443,"Adams"
1,1,2,1968,0,24,"Adams"
1,1,2,1969,0,20,"Adams"
1,1,2,1970,0,18,"Adams"
1,1,2,1971,0,20,"Adams"
1,1,2,1972,0,23,"Adams"
1,1,2,1973,0,31,"Adams"
1,1,2,1974,0,32,"Adams"
1,1,2,1975,0,37,"Adams"
1,1,2,1976,0,34,"Adams"
1,1,2,1977,1,35,"Adams"
1,1,2,1978,0,41,"Adams"
1,1,2,1979,0,43,"Adams"
1,1,2,1980,0,51,"Adams"
1,1,2,1981,0,52,"Adams"
1,1,2,1982,0,70,"Adams"
1,1,2,1983,0,84,"Adams"
1,1,2,1984,0,89,"Adams"
1,1,2,1985,0,100,"Adams"
1,1,2,1986,0,104,"Adams"
1,1,2,1987,0,111,"Adams"
1,1,2,1988,0,120,"Adams"
1,2,1,1968,0,8994,"Adams"
1,2,1,1969,0,9289,"Adams"
1,2,1,1970,1,9550,"Adams"
1,2,1,1971,1,9991,"Adams"
1,2,1,1972,2,10379,"Adams"
1,2,1,1973,2,10949,"Adams"
1,2,1,1974,5,11289,"Adams"
1,2,1,1975,3,11189,"Adams"
1,2,1,1976,1,11639,"Adams"
1,2,1,1977,2,11804,"Adams"
1,2,1,1978,6,11996,"Adams"
1,2,1,1979,0,12014,"Adams"
1,2,1,1980,3,12196,"Adams"
1,2,1,1981,4,12409,"Adams"
1,2,1,1982,3,12415,"Adams"
1,2,1,1983,2,12271,"Adams"
1,2,1,1984,3,12246,"Adams"
1,2,1,1985,5,12309,"Adams"
1,2,1,1986,3,12466,"Adams"
1,2,1,1987,4,12680,"Adams"
1,2,1,1988,2,12850,"Adams"
1,2,2,1968,0,22,"Adams"
1,2,2,1969,0,24,"Adams"
1,2,2,1970,0,24,"Adams"
1,2,2,1971,0,27,"Adams"
1,2,2,1972,0,31,"Adams"
1,2,2,1973,0,35,"Adams"
1,2,2,1974,0,35,"Adams"
1,2,2,1975,0,33,"Adams"
1,2,2,1976,0,35,"Adams"
1,2,2,1977,0,39,"Adams"
1,2,2,1978,0,38,"Adams"
1,2,2,1979,0,50,"Adams"
1,2,2,1980,0,52,"Adams"
1,2,2,1981,1,58,"Adams"
1,2,2,1982,0,74,"Adams"
1,2,2,1983,0,86,"Adams"
1,2,2,1984,0,97,"Adams"
1,2,2,1985,0,99,"Adams"
1,2,2,1986,0,123,"Adams"
1,2,2,1987,0,118,"Adams"
1,2,2,1988,0,129,"Adams"
2,1,1,1968,25,49585,"Allen"
2,1,1,1969,24,49395,"Allen"
2,1,1,1970,30,49202,"Allen"
2,1,1,1971,35,49521,"Allen"
2,1,1,1972,26,49067,"Allen"
2,1,1,1973,27,48870,"Allen"
2,1,1,1974,32,48877,"Allen"
2,1,1,1975,25,48792,"Allen"
2,1,1,1976,41,48148,"Allen"
2,1,1,1977,48,48371,"Allen"
2,1,1,1978,30,47990,"Allen"
2,1,1,1979,51,48533,"Allen"
2,1,1,1980,34,48568,"Allen"
2,1,1,1981,37,48362,"Allen"
2,1,1,1982,33,47348,"Allen"
2,1,1,1983,34,46883,"Allen"
2,1,1,1984,39,47323,"Allen"
2,1,1,1985,37,47469,"Allen"
2,1,1,1986,42,47627,"Allen"
2,1,1,1987,42,47881,"Allen"
2,1,1,1988,34,48001,"Allen"
2,1,2,1968,2,4683,"Allen"
2,1,2,1969,3,4719,"Allen"
2,1,2,1970,4,4834,"Allen"
2,1,2,1971,4,4863,"Allen"
2,1,2,1972,4,4881,"Allen"
2,1,2,1973,3,4914,"Allen"
2,1,2,1974,3,5011,"Allen"
2,1,2,1975,3,5085,"Allen"
2,1,2,1976,3,5113,"Allen"
2,1,2,1977,4,5232,"Allen"
2,1,2,1978,3,5262,"Allen"
2,1,2,1979,6,5462,"Allen"
2,1,2,1980,2,5598,"Allen"
2,1,2,1981,3,5752,"Allen"
2,1,2,1982,4,5828,"Allen"
2,1,2,1983,6,5878,"Allen"
2,1,2,1984,8,5956,"Allen"
2,1,2,1985,1,6008,"Allen"
2,1,2,1986,5,6085,"Allen"
2,1,2,1987,6,6209,"Allen"
2,1,2,1988,5,6316,"Allen"
2,2,1,1968,5,52201,"Allen"
2,2,1,1969,5,52201,"Allen"
2,2,1,1970,5,52067,"Allen"
2,2,1,1971,4,52303,"Allen"
2,2,1,1972,6,51787,"Allen"
2,2,1,1973,7,51534,"Allen"
2,2,1,1974,6,51686,"Allen"
2,2,1,1975,7,51713,"Allen"
2,2,1,1976,9,51258,"Allen"
2,2,1,1977,11,51448,"Allen"
2,2,1,1978,8,51144,"Allen"
2,2,1,1979,19,51658,"Allen"
2,2,1,1980,9,51784,"Allen"
2,2,1,1981,12,51535,"Allen"
2,2,1,1982,9,50436,"Allen"
2,2,1,1983,20,49848,"Allen"
2,2,1,1984,20,50056,"Allen"
2,2,1,1985,15,50104,"Allen"
2,2,1,1986,18,50253,"Allen"
2,2,1,1987,21,50498,"Allen"
2,2,1,1988,19,50547,"Allen"
2,2,2,1968,0,4559,"Allen"
2,2,2,1969,1,4658,"Allen"
2,2,2,1970,0,4755,"Allen"
2,2,2,1971,1,4841,"Allen"
2,2,2,1972,0,4869,"Allen"
2,2,2,1973,1,4955,"Allen"
2,2,2,1974,0,5102,"Allen"
2,2,2,1975,0,5227,"Allen"
2,2,2,1976,1,5272,"Allen"
2,2,2,1977,0,5436,"Allen"
2,2,2,1978,1,5505,"Allen"
2,2,2,1979,0,5734,"Allen"
2,2,2,1980,1,5900,"Allen"
2,2,2,1981,1,6114,"Allen"
2,2,2,1982,1,6308,"Allen"
2,2,2,1983,2,6387,"Allen"
2,2,2,1984,2,6554,"Allen"
2,2,2,1985,0,6670,"Allen"
2,2,2,1986,0,6780,"Allen"
2,2,2,1987,0,6870,"Allen"
2,2,2,1988,0,7004,"Allen"
3,1,1,1968,10,21056,"Ashland"
3,1,1,1969,17,20956,"Ashland"
3,1,1,1970,10,20759,"Ashland"
3,1,1,1971,9,20817,"Ashland"
3,1,1,1972,12,21147,"Ashland"
3,1,1,1973,10,21285,"Ashland"
3,1,1,1974,9,21293,"Ashland"
3,1,1,1975,15,21543,"Ashland"
3,1,1,1976,9,21397,"Ashland"
3,1,1,1977,13,21465,"Ashland"
3,1,1,1978,8,21722,"Ashland"
3,1,1,1979,10,21903,"Ashland"
3,1,1,1980,18,22114,"Ashland"
3,1,1,1981,15,22146,"Ashland"
3,1,1,1982,18,22040,"Ashland"
3,1,1,1983,20,21805,"Ashland"
3,1,1,1984,18,21859,"Ashland"
3,1,1,1985,26,21907,"Ashland"
3,1,1,1986,12,21706,"Ashland"
3,1,1,1987,20,21878,"Ashland"
3,1,1,1988,24,21909,"Ashland"
3,1,2,1968,0,155,"Ashland"
3,1,2,1969,0,156,"Ashland"
3,1,2,1970,0,167,"Ashland"
3,1,2,1971,0,181,"Ashland"
3,1,2,1972,0,191,"Ashland"
3,1,2,1973,0,211,"Ashland"
3,1,2,1974,1,215,"Ashland"
3,1,2,1975,0,242,"Ashland"
3,1,2,1976,0,244,"Ashland"
3,1,2,1977,0,260,"Ashland"
3,1,2,1978,0,273,"Ashland"
3,1,2,1979,0,281,"Ashland"
3,1,2,1980,0,298,"Ashland"
3,1,2,1981,0,332,"Ashland"
3,1,2,1982,0,353,"Ashland"
3,1,2,1983,0,365,"Ashland"
3,1,2,1984,0,390,"Ashland"
3,1,2,1985,0,425,"Ashland"
3,1,2,1986,0,429,"Ashland"
3,1,2,1987,0,449,"Ashland"
3,1,2,1988,0,470,"Ashland"
3,2,1,1968,5,22178,"Ashland"
3,2,1,1969,2,22145,"Ashland"
3,2,1,1970,2,22042,"Ashland"
3,2,1,1971,3,22132,"Ashland"
3,2,1,1972,0,22439,"Ashland"
3,2,1,1973,1,22613,"Ashland"
3,2,1,1974,2,22529,"Ashland"
3,2,1,1975,3,22856,"Ashland"
3,2,1,1976,6,22663,"Ashland"
3,2,1,1977,2,22796,"Ashland"
3,2,1,1978,5,23124,"Ashland"
3,2,1,1979,1,23390,"Ashland"
3,2,1,1980,4,23476,"Ashland"
3,2,1,1981,3,23711,"Ashland"
3,2,1,1982,2,23691,"Ashland"
3,2,1,1983,7,23532,"Ashland"
3,2,1,1984,7,23724,"Ashland"
3,2,1,1985,8,23787,"Ashland"
3,2,1,1986,7,23561,"Ashland"
3,2,1,1987,8,23702,"Ashland"
3,2,1,1988,6,23755,"Ashland"
3,2,2,1968,0,115,"Ashland"
3,2,2,1969,0,125,"Ashland"
3,2,2,1970,0,132,"Ashland"
3,2,2,1971,0,136,"Ashland"
3,2,2,1972,0,140,"Ashland"
3,2,2,1973,0,149,"Ashland"
3,2,2,1974,0,160,"Ashland"
3,2,2,1975,0,177,"Ashland"
3,2,2,1976,0,190,"Ashland"
3,2,2,1977,0,187,"Ashland"
3,2,2,1978,0,204,"Ashland"
3,2,2,1979,0,207,"Ashland"
3,2,2,1980,0,233,"Ashland"
3,2,2,1981,0,256,"Ashland"
3,2,2,1982,0,277,"Ashland"
3,2,2,1983,0,292,"Ashland"
3,2,2,1984,0,313,"Ashland"
3,2,2,1985,0,322,"Ashland"
3,2,2,1986,0,334,"Ashland"
3,2,2,1987,0,352,"Ashland"
3,2,2,1988,0,374,"Ashland"
4,1,1,1968,20,45167,"Ashtabula"
4,1,1,1969,17,45866,"Ashtabula"
4,1,1,1970,19,46641,"Ashtabula"
4,1,1,1971,32,47735,"Ashtabula"
4,1,1,1972,38,47888,"Ashtabula"
4,1,1,1973,25,47617,"Ashtabula"
4,1,1,1974,24,47865,"Ashtabula"
4,1,1,1975,23,48255,"Ashtabula"
4,1,1,1976,31,47776,"Ashtabula"
4,1,1,1977,30,47839,"Ashtabula"
4,1,1,1978,38,48202,"Ashtabula"
4,1,1,1979,26,48735,"Ashtabula"
4,1,1,1980,44,48604,"Ashtabula"
4,1,1,1981,43,48402,"Ashtabula"
4,1,1,1982,37,48032,"Ashtabula"
4,1,1,1983,32,47501,"Ashtabula"
4,1,1,1984,35,47339,"Ashtabula"
4,1,1,1985,37,47232,"Ashtabula"
4,1,1,1986,36,46545,"Ashtabula"
4,1,1,1987,31,46268,"Ashtabula"
4,1,1,1988,50,45804,"Ashtabula"
4,1,2,1968,0,1263,"Ashtabula"
4,1,2,1969,2,1303,"Ashtabula"
4,1,2,1970,0,1374,"Ashtabula"
4,1,2,1971,0,1429,"Ashtabula"
4,1,2,1972,0,1457,"Ashtabula"
4,1,2,1973,0,1483,"Ashtabula"
4,1,2,1974,0,1525,"Ashtabula"
4,1,2,1975,0,1560,"Ashtabula"
4,1,2,1976,0,1598,"Ashtabula"
4,1,2,1977,2,1627,"Ashtabula"
4,1,2,1978,0,1675,"Ashtabula"
4,1,2,1979,1,1705,"Ashtabula"
4,1,2,1980,0,1769,"Ashtabula"
4,1,2,1981,0,1820,"Ashtabula"
4,1,2,1982,2,1899,"Ashtabula"
4,1,2,1983,1,1949,"Ashtabula"
4,1,2,1984,2,2003,"Ashtabula"
4,1,2,1985,1,2083,"Ashtabula"
4,1,2,1986,2,2111,"Ashtabula"
4,1,2,1987,3,2154,"Ashtabula"
4,1,2,1988,0,2183,"Ashtabula"
4,2,1,1968,7,47272,"Ashtabula"
4,2,1,1969,4,48158,"Ashtabula"
4,2,1,1970,6,48799,"Ashtabula"
4,2,1,1971,5,49930,"Ashtabula"
4,2,1,1972,4,49885,"Ashtabula"
4,2,1,1973,4,49755,"Ashtabula"
4,2,1,1974,13,50079,"Ashtabula"
4,2,1,1975,3,50479,"Ashtabula"
4,2,1,1976,9,50096,"Ashtabula"
4,2,1,1977,8,50385,"Ashtabula"
4,2,1,1978,11,50852,"Ashtabula"
4,2,1,1979,11,51529,"Ashtabula"
4,2,1,1980,14,51484,"Ashtabula"
4,2,1,1981,13,51315,"Ashtabula"
4,2,1,1982,13,50865,"Ashtabula"
4,2,1,1983,26,50271,"Ashtabula"
4,2,1,1984,19,50006,"Ashtabula"
4,2,1,1985,18,49934,"Ashtabula"
4,2,1,1986,12,49158,"Ashtabula"
4,2,1,1987,17,48753,"Ashtabula"
4,2,1,1988,15,48258,"Ashtabula"
4,2,2,1968,0,1375,"Ashtabula"
4,2,2,1969,1,1411,"Ashtabula"
4,2,2,1970,0,1483,"Ashtabula"
4,2,2,1971,0,1519,"Ashtabula"
4,2,2,1972,2,1548,"Ashtabula"
4,2,2,1973,0,1573,"Ashtabula"
4,2,2,1974,0,1608,"Ashtabula"
4,2,2,1975,0,1641,"Ashtabula"
4,2,2,1976,0,1646,"Ashtabula"
4,2,2,1977,1,1694,"Ashtabula"
4,2,2,1978,0,1733,"Ashtabula"
4,2,2,1979,0,1798,"Ashtabula"
4,2,2,1980,0,1828,"Ashtabula"
4,2,2,1981,0,1920,"Ashtabula"
4,2,2,1982,1,1987,"Ashtabula"
4,2,2,1983,0,2029,"Ashtabula"
4,2,2,1984,0,2092,"Ashtabula"
4,2,2,1985,0,2153,"Ashtabula"
4,2,2,1986,0,2197,"Ashtabula"
4,2,2,1987,2,2247,"Ashtabula"
4,2,2,1988,0,2314,"Ashtabula"
5,1,1,1968,10,26517,"Athens"
5,1,1,1969,9,26857,"Athens"
5,1,1,1970,8,27160,"Athens"
5,1,1,1971,11,27915,"Athens"
5,1,1,1972,24,28013,"Athens"
5,1,1,1973,18,27329,"Athens"
5,1,1,1974,8,26182,"Athens"
5,1,1,1975,13,25171,"Athens"
5,1,1,1976,20,24767,"Athens"
5,1,1,1977,12,25953,"Athens"
5,1,1,1978,24,26571,"Athens"
5,1,1,1979,22,26593,"Athens"
5,1,1,1980,16,27031,"Athens"
5,1,1,1981,21,27370,"Athens"
5,1,1,1982,19,27397,"Athens"
5,1,1,1983,17,27295,"Athens"
5,1,1,1984,18,27376,"Athens"
5,1,1,1985,14,27443,"Athens"
5,1,1,1986,10,27506,"Athens"
5,1,1,1987,24,27801,"Athens"
5,1,1,1988,18,27941,"Athens"
5,1,2,1968,0,754,"Athens"
5,1,2,1969,0,787,"Athens"
5,1,2,1970,0,854,"Athens"
5,1,2,1971,0,909,"Athens"
5,1,2,1972,2,956,"Athens"
5,1,2,1973,1,983,"Athens"
5,1,2,1974,0,968,"Athens"
5,1,2,1975,1,963,"Athens"
5,1,2,1976,0,998,"Athens"
5,1,2,1977,0,1093,"Athens"
5,1,2,1978,0,1185,"Athens"
5,1,2,1979,0,1220,"Athens"
5,1,2,1980,0,1303,"Athens"
5,1,2,1981,0,1408,"Athens"
5,1,2,1982,0,1528,"Athens"
5,1,2,1983,0,1585,"Athens"
5,1,2,1984,1,1648,"Athens"
5,1,2,1985,0,1704,"Athens"
5,1,2,1986,0,1765,"Athens"
5,1,2,1987,0,1820,"Athens"
5,1,2,1988,0,1878,"Athens"
5,2,1,1968,2,26238,"Athens"
5,2,1,1969,0,26682,"Athens"
5,2,1,1970,4,26979,"Athens"
5,2,1,1971,1,27674,"Athens"
5,2,1,1972,2,27626,"Athens"
5,2,1,1973,4,26900,"Athens"
5,2,1,1974,3,26021,"Athens"
5,2,1,1975,6,25201,"Athens"
5,2,1,1976,5,24845,"Athens"
5,2,1,1977,6,25963,"Athens"
5,2,1,1978,6,26349,"Athens"
5,2,1,1979,8,26313,"Athens"
5,2,1,1980,8,26976,"Athens"
5,2,1,1981,12,27146,"Athens"
5,2,1,1982,5,27038,"Athens"
5,2,1,1983,4,26931,"Athens"
5,2,1,1984,19,26991,"Athens"
5,2,1,1985,7,26982,"Athens"
5,2,1,1986,5,26966,"Athens"
5,2,1,1987,3,27266,"Athens"
5,2,1,1988,6,27388,"Athens"
5,2,2,1968,0,671,"Athens"
5,2,2,1969,0,710,"Athens"
5,2,2,1970,0,780,"Athens"
5,2,2,1971,0,819,"Athens"
5,2,2,1972,0,855,"Athens"
5,2,2,1973,0,887,"Athens"
5,2,2,1974,0,881,"Athens"
5,2,2,1975,0,898,"Athens"
5,2,2,1976,0,898,"Athens"
5,2,2,1977,0,985,"Athens"
5,2,2,1978,0,1029,"Athens"
5,2,2,1979,0,1063,"Athens"
5,2,2,1980,1,1119,"Athens"
5,2,2,1981,0,1184,"Athens"
5,2,2,1982,0,1242,"Athens"
5,2,2,1983,0,1264,"Athens"
5,2,2,1984,0,1285,"Athens"
5,2,2,1985,0,1306,"Athens"
5,2,2,1986,0,1362,"Athens"
5,2,2,1987,0,1405,"Athens"
5,2,2,1988,0,1446,"Athens"
6,1,1,1968,5,18368,"Auglaize"
6,1,1,1969,9,18496,"Auglaize"
6,1,1,1970,6,18703,"Auglaize"
6,1,1,1971,15,19060,"Auglaize"
6,1,1,1972,4,19258,"Auglaize"
6,1,1,1973,12,19703,"Auglaize"
6,1,1,1974,10,19970,"Auglaize"
6,1,1,1975,10,20751,"Auglaize"
6,1,1,1976,15,20179,"Auglaize"
6,1,1,1977,15,20268,"Auglaize"
6,1,1,1978,10,20529,"Auglaize"
6,1,1,1979,10,20756,"Auglaize"
6,1,1,1980,12,20767,"Auglaize"
6,1,1,1981,15,20865,"Auglaize"
6,1,1,1982,18,20912,"Auglaize"
6,1,1,1983,14,20798,"Auglaize"
6,1,1,1984,23,21081,"Auglaize"
6,1,1,1985,19,21172,"Auglaize"
6,1,1,1986,19,21245,"Auglaize"
6,1,1,1987,13,21408,"Auglaize"
6,1,1,1988,16,21529,"Auglaize"
6,1,2,1968,0,32,"Auglaize"
6,1,2,1969,0,35,"Auglaize"
6,1,2,1970,0,34,"Auglaize"
6,1,2,1971,0,33,"Auglaize"
6,1,2,1972,0,37,"Auglaize"
6,1,2,1973,0,36,"Auglaize"
6,1,2,1974,0,39,"Auglaize"
6,1,2,1975,0,39,"Auglaize"
6,1,2,1976,0,40,"Auglaize"
6,1,2,1977,0,48,"Auglaize"
6,1,2,1978,0,49,"Auglaize"
6,1,2,1979,0,55,"Auglaize"
6,1,2,1980,0,50,"Auglaize"
6,1,2,1981,0,52,"Auglaize"
6,1,2,1982,0,56,"Auglaize"
6,1,2,1983,0,55,"Auglaize"
6,1,2,1984,0,60,"Auglaize"
6,1,2,1985,0,64,"Auglaize"
6,1,2,1986,0,60,"Auglaize"
6,1,2,1987,0,69,"Auglaize"
6,1,2,1988,0,67,"Auglaize"
6,2,1,1968,2,19461,"Auglaize"
6,2,1,1969,1,19649,"Auglaize"
6,2,1,1970,2,19765,"Auglaize"
6,2,1,1971,1,20094,"Auglaize"
6,2,1,1972,2,20174,"Auglaize"
6,2,1,1973,3,20583,"Auglaize"
6,2,1,1974,2,20846,"Auglaize"
6,2,1,1975,2,21611,"Auglaize"
6,2,1,1976,5,21043,"Auglaize"
6,2,1,1977,3,21142,"Auglaize"
6,2,1,1978,1,21407,"Auglaize"
6,2,1,1979,8,21590,"Auglaize"
6,2,1,1980,5,21595,"Auglaize"
6,2,1,1981,5,21763,"Auglaize"
6,2,1,1982,5,21832,"Auglaize"
6,2,1,1983,2,21750,"Auglaize"
6,2,1,1984,12,22071,"Auglaize"
